Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5000000,25,3,31046,98.49,0.000%,1982.08198,709.50,230.34,366.5
TOTAL,5000000,25,3,31046,98.49,0.000%,1982.08198,709.50,230.34,366.5
